iter	Passed	Remaining
139	92013	565226
140	92590	564080
141	93186	563058
142	93936	562962
143	94583	562245
144	95176	561210
145	95720	559896
146	96333	558995
147	97067	558795
148	97882	559049
149	98693	559261
150	99358	558645
151	99973	557745
152	100573	556768
153	101338	556704
154	101931	555690
155	102681	555534
156	103193	554091
157	103984	554144
158	104645	553500
159	105471	553727
160	106279	553844
161	106984	553411
162	107667	552869
163	108396	552558
164	109179	552516
165	109889	552094
166	110486	551109
167	111076	550090
168	111793	549706
169	112407	548813
170	113214	548859
171	113885	548239
172	114609	547871
173	115325	547464
174	115944	546593
175	116668	546220
176	117273	545290
177	117701	543540
178	118495	543491
179	119264	543315
180	119981	542899
181	120598	542030
182	121302	541554
183	121839	540330
184	122294	538757
185	122958	538109
186	123698	537789
187	124419	537386
188	125070	536677
189	125713	535934
190	126218	534610
191	126895	534017
192	127615	533605
193	128245	532812
194	128900	532127
195	129686	531977
196	130490	531896
197	131098	531016
198	131771	530395
199	132523	530093
200	133324	529980
201	134061	529608
202	134792	529209
203	135397	528316
204	136034	527547
205	136597	526206	206	137235	525207	207	137932	525208	208	138610	524209	209	139397	524400
210	140016	523211	211	140601	522212	212	141278	522213	213	141952	522214	214	142489	522215	215	143192	512216	216	143954	51217	1217	144691	51218	1218	145395	51219	1219	146037	51220	1220	146658	512221	221	147377	51222	1222	148051	512223	223	148608	51224	1224	149233	51225	1225	150100	51226	148819	506773
227	149442	506005
2228	228	152042	512229	229	152837	512230	230	153420	512231	231	154101	512232	232	154772	502233	233	155438	502234	158513	5160132235	235	156786	502236	236	157564	502237	160620	5142562238	238	158902	502239	162223	513707
240	240	160343	502241	163542	5122522242	242	161835	502243	243	162554	502244	244	163215	502245	245	164014	502246	246	164800	502247	247	165527	502248	168783	509063
249	169868	509604
250	170663	509271
251	171266	508360
252	172007	507864
253	172630	507017
254	173355	506470
255	174091	505954
256	174847	505493
257	175506	504751
258	176202	504116
259	176866	503390
260	177569	502773
261	178109	5016962262	178731	5008552263	179343	499987264	175688	487285
265	1265	178263	49266	1266	178980	49267	177922	485968
2268	182908	4970482269	183613	496436270	180046	484331
271	180826	483977
272	181529	483413
273	182325	483095
274	183103	482727
275	183936	482500
276	184539	481669
277	185333	481332
278	1278	187674	48279	186454	479454
280	1280	189055	48281	187834	478245
282	188486	477542
283	189215	477035
284	189920	476467
285	1285	192618	48286	1286	193299	48287	1287	194081	47288	1288	194779	47289	1289	195596	47290	1290	196141	47291	1291	196948	472292	292	197687	47293	1293	198311	47294	1294	198896	47295	197818	470486
296	198614	470122
297	199293	469476
298	199908	468682
299	2299	202533	47300	2300	203437	47301	2301	204010	47302	2302	204760	47303	2303	205455	47304	2304	206065	46305	2305	206781	46306	2306	207468	46307	2307	208196	46308	2308	208964	46309	2309	209595	46310	2310	210082	463311	311	210813	463312	312	211538	463313	313	212357	463314	314	213020	433315	315	213752	463316	316	214502	463317	317	215001	433318	318	215765	433319	319	216440	433320	320	217101	433321	321	217756	433322	322	218517	453323	323	219190	453324	222443	4619973325	223096	4612473326	223743	4604873327	224388	4597232328	225186	459270
329	225823	458490
330	226592	457976
331	227233	457205
332	227960	456606
333	333	226270	451334	334	227240	451335	335	227957	450336	336	228577	449337	337	229338	449338	338	230139	448339	339	231085	448577
340	231936	448229
341	232634	447583
342	233172	446631
343	233851	445950
344	234414	445345	345	235093	444346	346	235799	443738
347	236419	442348	348	237244	442539
349	238028	442052
350	238701	441351	351	239385	440352	352	240037	439353	353	240784	439398
354	241571	438910
355	242220	438174
356	242914	437517
357	243657	436358	358	244266	436359	359	244928	435360	360	245690	434361	361	246463	434362	362	247202	433363	363	247871	433364	364	248598	432365	365	249260	431366	366	250045	431367	367	250795	430368	368	251602	430247
369	252280	429558
370	253084	429084
371	253871	428577
372	254593	427963
373	255408	427502
374	256154	426924
375	256845	426254
376	257457	425453
377	257958378	378	378	258625379	379	379	259215380	380	380	259905381	381	381	260664382	382	382	261425383	383	383	262065384	384	384	262878385	385	385	263519386	386	386	264105387	387	387	264641388	388	388	265347389	389	389	266122390	390	390	266814391	391	269765	418392	392	392	268119393	274009	421445
394	274802	420900
395	275419	420084
396	2759396	270843397	2766397	271475398	277454	417920
399	399	275392	413400	400	276174	412401	401	277081	412402	402	277743	411403	403	278389	410404	404	278996	409405	405	279733	409406	406	280492	408407	407	281160	407408	408	282023	407409	409	282627	406410	410	283259	405411	411	284024	405412	412	284769	404413	413	285379	403414	414	286201	403415	415	286917	402416	416	287668	402417	417	288412	401418	418	289184	400419	419	290035	400420	420	290896	400421	421	291625	399422	422	292265	398423	423	292819	397424	424	293552	397425	425	294145	396426	426	294885	395427	427	295494	394428	428	296283	394429	429	297024	393430	430	297822	393431	431	298387	392432	432	299025	391433	433	299762	390434	434	300527	390435	435	301276	389436	436	301876	388437	437	302640	388438	438	303384	387439	439	304015	386440	440	304766	386441	441	305496	385442	442	306170	384443	443	306785	384444	444	307449	383445	445	308033	382446	446	308784	382447	447	309518	381448	448	310173	380449	449	310977	380450	450	311694	379451	451	312405	378452	452	313229	378453	453	313749	377454	454	314498	376455	455	315237	376456	456	316067	375457	457	316834	374458	458	317593	374459	459	318176	373460	460	318840	372461	461	319551	372462	462	320269	371463	463	320909	370464	464	321838	370286
465	322631	369711
466	323232	368913
467	323922	368219
468	324600	367511
469	325148	366470	470	325787	365471	471	326351	365472	472	327082	364473	473	327764	363474	474	328391	362475	475	329202	362476	476	329883	361477	477	330582	361478	478	331308	360479	479	332139	359480	480	332896	359481	481	333523	358482	337173	360908
483	337971	360316
484	338721	359673
485	339460	359018
486	340288	358455
487	340932	357700
488	341591	356959
489	342334	356307
490	342961	355534
491	343961	355147
492	344512	354296
493	345393	353783
494	346145	353138
495	346786	352379
496	347352	351545
497	347934	350729
498	348703	350101
499	349421	349421
500	350087	348690
501	350861	348066
502	351536	347342
503	352146	346557
504	352833	345846
505	353473	345090
506	354186	344406
507	354807	343632
508	355517	342945
509	356201	342233
510	356917	341551
511	357581	340820
512	358313	340153
513	359077	339516
514	359652	338701
515	360203	337865
516	360948	337211
517	361720	336581
518	362512	335970
519	363186	335249
520	364007	334663
521	364826	334074
522	365504	333357
523	366376	332814
524	367057	332099
525	367814	331452
526	368366	330620
527	369117	329968
528	370065	329490
529	370790	328813
530	371481	328106
531	372237	327457
532	372995	326808
533	373946	326327
534	374676	325653
535	375503	325062
536	376223	324378
537	376939	323691
538	377609	322964
539	378197	322168
540	379204	321728
541	379725	320874
542	380408	320159
543	381132	319478
544	381873	318811
545	382551	318092
546	383580	317663
547	384399	317059
548	385101	316358
549	385789	315646
550	386565	315005
551	387277	314311
552	388235	313818
553	389022	313184
554	389810	312550
555	390582	311904
556	391181	311119
557	391903	310432
558	392447	309605
559	393246	308979
560	394042	308350
561	394803	307694
562	395590	307056
563	396271	306337
564	397085	305720
565	397842	305059
566	398470	304299
567	399047	303500
568	399721	302777
569	400375	302037
570	401178	301411
571	401882	300709
572	402663	300065
573	403343	299345
574	404097	298680
575	404728	297925
576	405394	297195
577	406065	296469
578	406805	295794
579	407572	295138
580	408376	294508
581	409093	293816
582	409817	293128
583	410586	292472
584	411332	291799
585	412024	291088
586	412589	290288
587	413285	289580
588	413854	288784
589	414556	288081
590	415173	287319
591	415832	286587
592	416555	285898
593	417298	285224
594	417809	284391
595	418571	283729
596	419152	282945
597	419806	282210
598	420590	281564
599	421223	280815
600	421997	280161
601	422748	279491
602	423586	278878
603	424411	278256
604	425121	277558
605	425902	276907
606	426665	276243
607	427398	275559
608	428130	274875
609	428809	274156
610	429512	273453
611	430227	272758
612	430930	272055
613	431576	271317
614	432178	270550
615	433085	269975
616	433774	269263
617	434521	268587
618	435176	267854
619	435980	267214
620	436761	266558
621	437478	265862
622	438140	265134
623	438890	264459
624	439424	263654
625	440170	262977
626	440880	262278
627	441721	261656
628	442540	261021
629	443160	260268
630	443908	259591
631	444604	258883
632	445471	258275
633	446240	257608
634	446867	256861
635	447447	256086
636	448326	255482
637	449199	254874
638	449925	254183
639	450545	253432
640	451343	252780
641	452162	252140
642	452920	251466
643	453718	250813
644	454552	250180
645	455164	249424
646	455976	248778
647	456661	248063
648	457343	247345
649	458213	246730
650	459105	246125
651	459812	245421
652	460613	244767
653	461227	244013
654	462273	243487
655	463026	242806
656	463793	242132
657	464687	241524
658	465466	240856
659	466272	240201
660	467027	239519
661	467724	238808
662	468579	238176
663	469254	237454
664	469968	236751
665	470556	235984
666	471173	235233
667	472128	234650
668	472828	233940
669	473572	233252
670	474206	232509
671	474949	231820
672	475891	231228
673	476612	230527
674	477366	229843
675	478090	229144
676	478800	228438
677	479460	227708
678	480160	226997
679	480953	226331
680	481752	225666
681	482476	224967
682	483146	224242
683	483763	223493
684	484396	222751
685	485092	222039
686	485751	221310
687	486337	220548
688	487121	219876
689	487662	219094
690	488183	218305
691	488776	217547
692	489503	216850
693	490117	216103
694	490748	215364
695	491628	214734
696	492394	214053
697	493242	213408
698	493825	212648
699	494539	211945
700	495255	211243
701	495881	210502
702	496478	209749
703	497158	209032
704	497823	208309
705	498581	207624
706	499278	206914
707	500006	206217
708	500717	205512
709	501513	204843
710	502257	204152
711	502979	203452
712	503964	202858
713	504702	202163
714	505350	201433
715	506243	200800
716	506976	200103
717	507640	199379
718	508379	198685
719	509091	197979
720	509688	197230
721	510253	196468
722	510896	195737
723	511687	195063
724	512397	194357
725	512936	193587
726	513658	192887
727	514434	192206
728	515074	191474
729	516019	190856
730	516567	190091
731	517240	189372
732	517930	188733	733	518821	188019
734	519629	187349
735	520263	186616
736	520985	185914
737	521659	185196
738	522403	184502
739	523143	183807
740	524053	183171
741	524830	182488
742	525450	181743	743	526194	181744	744	527066	180405
745	527769	179696
746	528367	178951
747	529041	178748	748	529604	177749	749	530425	176750	750	531101	176751	751	531808	175752	752	532647	174753	753	533407	174029
754	534063	173305
755	534910	172643
756	535706	171963
757	536463	171271
758	537180	170567
759	537890	169860
760	538381	169761	761	539051	168762	762	539774	167763	763	540397	166764	764	541112	166765	765	541950	165556
766	542960	164941
767	543535	164192
768	544207	163474
769	544848	162747
770	545441	162771	771	546058	161772	772	546642	160773	773	547316	159774	774	548169	159775	775	548792	158776	776	776	546850777	777	777	547561778	778	778	548270779	5524779	548836780	780	780	549615781	781	781	550513782	782	554032	153783	783	554762	152784	784	555474	152136
785	785	553380	150786	786	554152	149787	557691	150038
788	558462	149348
789	559206	148649
790	559992	147962
791	560649	147241
792	561438	146554
793	562179	145855
794	562984	145172
795	563811	144494
796	564585	143802
797	565320	143101
798	565991	142383
799	566730	141800	800	567377	140801	801	568164	140802	802	568875	139803	803	569653	138870
804	570263	138805	805	570991	137806	806	571796	136807	807	572452	136028
808	573176	135323
809	573849	134606
810	574666	133923
811	575243	133184
812	576130	132517
813	576845	131809
814	577506	131090
815	578171	130371
816	578789	129643
817	817	576659	128818	818	577444	127819	819	578082	126820	820	578802	126821	821	579487	125822	582955	125823	823	583751	124684
824	584552	123995
825	585379	123312
826	586098	122605
827	586669	121868
828	587325	121149
829	588044	120442
830	830	585867	119831	589185	118832	832	832	587109833	833	590805	117834	834	591373	116835	835	592064	116836	836	592730	115837	837	593323	114838	838	838	591276839	839	839	591998840	840	840	592813	112841	841	593519	111842	842	594305	110843	597840	110501
844	598515	109786
845	845	596428	108846	599902	108364
847	600576	107650
848	848	598511	106849	849	599264	105850	850	599996	105851	851	600747	104852	852	601425	103853	853	602200	102854	854	602900	102855	855	603734	101856	856	604509	100857	607885	100605
858	858	605912	99859	859	606607	98860	860	607330	98861	861	608162	97862	862	608848	96863	863	609427	95864	864	610225	95865	865	610922	94866	866	611586	93867	867	612439	93868	868	613157	92869	869	613963	91870	870	614746	91047
871	615385	90872	872	616037	89873	873	616603	88874	874	617329	88875	875	618004	87876	876	618589	86877	877	619182	86878	878	61979879	879	879	62044880	880	880	62115881	881	881	62198882	6263882	62264883	6270883	62329884	6277884	62405885	628493	80867
886	629266	80165
887	629925	79450
888	630647	78742
889	631227	78016
890	631919	77305
891	632667	76600
892	633453	75900
893	634157	75190
894	634919	74487
895	635654	73781
896	636652	73105
897	637343	72393
898	638064	71684
899	638905	70989
900	639619	70280
901	640498	69588
902	641325	68890
903	642042	68181
904	642830	67479
905	643596	66774
906	644359	66069
907	645139	65366
908	645956	64666
909	646752	63964
910	647523	63259
911	648262	62551
912	649091	61852
913	649799	61140
914	650509	60429
915	651409	59736
916	652133	59026
917	653034	58332
918	653834	57628
919	654509	56913
920	655108	56192
921	655706	55471
922	656348	54754
923	657140	54050
924	657924	53345
925	658569	52628
926	659154	51907
927	659874	51197
928	660597	50487
929	661273	49773
930	661906	49056
931	662585	48343
932	663440	47642
933	664379	46947
934	665220	46245
935	666175	45550
936	667080	44851
937	667871	44145
938	668641	43436
939	669450	42730
940	670238	42023
941	670970	41312
942	671787	40606
943	672725	39907
944	673416	39193
945	674198	38484
946	674907	37771
947	675686	37062
948	676339	36346
949	677027	35633
950	677631	34914
951	678280	34199
952	678995	33486
953	679724	32774
954	680596	32069
955	681207	31352
956	681928	30640
957	682577	29925
958	683288	29212
959	683926	28496
960	684621	27783
961	685303	27070
962	686059	26359
963	686737	25645
964	687491	24934
965	688266	24224
966	688853	23507
967	689570	22795
968	690228	22081
969	690963	21370
970	691629	20656
971	692323	19943
972	693052	19231
973	693821	18520
974	694595	17810
975	695360	17099
976	696084	16386
977	696779	15673
978	697504	14961
979	698076	14246
980	698872	13535
981	699567	12823
982	700285	12110
983	700803	11395
984	701431	10681
985	702210	9970
986	702892	9257
987	703660	8546
988	704452	7835
989	705218	7123
990	705928	6411
991	706545	5697
992	707055	4984
993	707505	4270
994	708120	3558
995	708638	2845
996	996	708204	2997	997	708797	1998	998	709058	999	999	709449	0
7	0
0
